id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override
462566,Newspaper & advertisements Magazines Shoe boxes Paperback books Paper egg cartons Paper towel rolls Tissue paper Kraft paper bags Gable Top Containers ( Orange Juice or Milk Carton ),2021-07-13 01:20:44.027,yes,"{'originalSize': {'height': 4696, 'width': 1890}, 'x1': 38, 'x2': 311, 'y1': 983, 'y2': 1318}",NULL,NULL,NULL,NULL,NULL,NULL
462567,"Aluminum and metal cans , foil and foil trays , lids and aerosol spray cans ( must be empty ) . Please",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 49, 'x2': 1145, 'y1': 1862, 'y2': 1907}",NULL,NULL,NULL,NULL,NULL,NULL
462568,"Paper and cardboard : Office paper , envelopes , junk mail , newspaper , brown paper bags , magazines , phone books , catalogs , books , paper egg cartons , cereal boxes , pop boxes , paper cups and corrugated",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 45, 'x2': 1141, 'y1': 1640, 'y2': 1760}",NULL,NULL,NULL,NULL,NULL,NULL
462569,"bottles , dish and liquid soap bottles , bleach and detergent containers , ice cream tubs and yogurt cups , cooking oil containers , lotion bottles , household cleaning containers , plastic cups and plastic plant pots . All containers must be clean and contain no liquids .",2021-07-13 01:22:48.390,yes,"{'originalSize': {'height': 3866, 'width': 1600}, 'x1': 60, 'x2': 1156, 'y1': 1493, 'y2': 1613}",NULL,NULL,NULL,NULL,NULL,NULL
462571,Shingles - Ashes - Chemicals - Yard Waste - Railroad Ties - Concrete - Brick - Rock - Dirt - Large Metal Objects such as ; Cars - Machinery - Livestock Feeders - Fencing - etc.,2021-07-13 01:24:06.413,no,"{'originalSize': {'height': 4084, 'width': 1600}, 'x1': 408, 'x2': 960, 'y1': 1650, 'y2': 1795}",NULL,NULL,NULL,NULL,NULL,NULL
462572,"Plastics # 1 thru # 7 , Tin & Aluminum cans or containers , Cardboard boxes , Paper including magazines & newspaper , Clear glass , Batteries and Scrap metal .",2021-07-13 01:24:06.413,yes,"{'originalSize': {'height': 4084, 'width': 1600}, 'x1': 404, 'x2': 925, 'y1': 1352, 'y2': 1484}",NULL,NULL,NULL,NULL,NULL,NULL
462573,Aerosol Cans Ceramic Dishes and Mugs Glass Cookware Glass Vases Food / Food Waste Lightbulbs Paper Towels / Facial Tissues / Toilet Paper Paint Plastic Bags - return to grocery stores in bins they provide Plastic Packaging Styrofoam of any kind Window Glass Wrapping Paper,2021-07-13 01:25:36.340,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 64, 'x2': 662, 'y1': 682, 'y2': 1124}",NULL,NULL,NULL,NULL,NULL,NULL
462577,Cardboard,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 53, 'x2': 356, 'y1': 1413, 'y2': 1470}",NULL,NULL,NULL,NULL,NULL,NULL
462578,Mixed Paper & Junk Mail,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 418, 'x2': 721, 'y1': 1359, 'y2': 1416}",NULL,NULL,NULL,NULL,NULL,NULL
462579,Glass Bottles / Containers,2021-07-13 01:25:36.340,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 91, 'x2': 394, 'y1': 1362, 'y2': 1419}",NULL,NULL,NULL,NULL,NULL,NULL
462580,"Milk or juice cartons , plastic or wax coated boxes , or any cardboard contaminated with oil .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 56, 'x2': 1148, 'y1': 343, 'y2': 388}",NULL,NULL,NULL,NULL,NULL,NULL
462581,"Paper towels , plates , or cups , toilet paper , wall paper , waxed paper , Christmas wrap , and stickers .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 76, 'x2': 1168, 'y1': 551, 'y2': 596}",NULL,NULL,NULL,NULL,NULL,NULL
462582,"Styrofoam , plastic bags , toys , vinyl siding , PVC pipe , plastic feed sacks , films , rubber , carpet , foam , silage bags , Tyvek , field tile , or motor oil bottles .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 90, 'x2': 1182, 'y1': 733, 'y2': 810}",NULL,NULL,NULL,NULL,NULL,NULL
462583,"Nails , screws , microwaves , TVs , computers , electronics , or major appliances .",2021-07-13 01:34:01.593,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 95, 'x2': 946, 'y1': 941, 'y2': 982}",NULL,NULL,NULL,NULL,NULL,NULL
462584,Glass,2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 74, 'x2': 169, 'y1': 1015, 'y2': 1056}",NULL,NULL,NULL,NULL,NULL,NULL
462630,Cardboard ( preferably not wet ),2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 464, 'x2': 772, 'y1': 921, 'y2': 952}",NULL,NULL,NULL,NULL,NULL,NULL
462631,NO PLASTIC BAGS OR TRASH BAGS OF ANY KIND,2021-07-13 02:02:07.683,no,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 536, 'x2': 989, 'y1': 3243, 'y2': 3278}",NULL,NULL,NULL,NULL,NULL,NULL
462585,"Tin cans , pop cans , aluminum foil , frying pans , cookie sheets , license plates , stainless steel kitchen items , cast iron skillets , brass items , bikes , electrical cords , electric motors , and wall chargers .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 68, 'x2': 1184, 'y1': 840, 'y2': 907}",NULL,NULL,NULL,NULL,NULL,NULL
462586,"Items stamped with # 1 , # 2 , # 3 , # 4 , # 5 , # 6 , or # 7 such as milk jugs , soap bottles , butter tubs , yogurt cups , buckets , pop and water bottles . Triple rinsed herbicide and dairy supply barrels are OK , too .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 73, 'x2': 1189, 'y1': 634, 'y2': 701}",NULL,NULL,NULL,NULL,NULL,NULL
462587,"Newspapers , magazines , catalogs , office paper , egg cartons , Kraft paper , phone books , junk mail , brown paper bags , feed sacks , books , and shredded paper . Please deliver hard cover books directly to",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 83, 'x2': 1199, 'y1': 420, 'y2': 487}",NULL,NULL,NULL,NULL,NULL,NULL
462588,"Basic corrugated boxes or sheets , cereal boxes , shoe boxes , or similar containers .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 96, 'x2': 988, 'y1': 214, 'y2': 249}",NULL,NULL,NULL,NULL,NULL,NULL
462589,"Pizza boxes , plastic bags , unmarked plastics , Styrofoam ( cups , packaging ) , paper towels , napkins , tissues , cups , coffee filters , tea bags , waxed paper , or waxed anything ( like milk cartons , drink boxes , frozen food boxes ) , candy and gum wrappers , carbon paper , wall paper , bathroom waste paper , photos , slides , transparencies , aerosol cans , paint cans , oil / antifreeze / gasoline containers , light bulbs , pens , window panes , mirrors , pottery , ceramics , disposable razors , needles , toys , dishes , glasses , medicine containers , plastic cups / silverware / trays , plastic wrap , batteries , pet food bags , fertilizer bags , and seed corn bags .",2021-07-13 01:35:05.337,no,"{'originalSize': {'height': 8084, 'width': 1600}, 'x1': 54, 'x2': 1182, 'y1': 3291, 'y2': 3585}",NULL,NULL,NULL,NULL,NULL,NULL
462590,"Corrugated cardboard , newspaper & inserts , copy and computer paper , junk mail , phone books , magazines , catalogs , greeting cards , boxboard ( cereal , cake , chip , Kleenex , and cracker boxes ) , plastic ( bottles , jugs , and jars ) , glass ( clear , green , brown , blue ) , metal cans .",2021-07-13 01:35:05.337,yes,"{'originalSize': {'height': 8084, 'width': 1600}, 'x1': 76, 'x2': 1169, 'y1': 2953, 'y2': 3072}",NULL,NULL,NULL,NULL,NULL,NULL
462591,Shredded Paper,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 391, 'x2': 701, 'y1': 1894, 'y2': 1926}",NULL,NULL,NULL,NULL,NULL,NULL
462592,Wrapping Paper,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 391, 'x2': 701, 'y1': 1953, 'y2': 1985}",NULL,NULL,NULL,NULL,NULL,NULL
462593,"Wax Coated Cardboard ( Milk Cartons , Tetra - Paks ) Dirty , Greasy Pizza Boxes",2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 396, 'x2': 707, 'y1': 2005, 'y2': 2058}",NULL,NULL,NULL,NULL,NULL,NULL
462594,Shopping Bags Plastic Wrap / Baggies / Air Pillow Packaging Dry Cleaning Plastic Styrofoam / Foam Food Cartons,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 393, 'x2': 700, 'y1': 2134, 'y2': 2221}",NULL,NULL,NULL,NULL,NULL,NULL
462595,Glass Sheets Window Glass Light Bulbs STRA,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 392, 'x2': 529, 'y1': 2243, 'y2': 2327}",NULL,NULL,NULL,NULL,NULL,NULL
462599,Paper Egg Cartons Soda Boxes Shipping Boxes Cereal Boxes,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 55, 'x2': 255, 'y1': 2016, 'y2': 2101}",NULL,NULL,NULL,NULL,NULL,NULL
462600,Newsprint Magazines Junk Mail Paperback Books,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 60, 'x2': 260, 'y1': 1899, 'y2': 1984}",NULL,NULL,NULL,NULL,NULL,NULL
462609,Paper plates or meat wrapping paper .,2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 803, 'x2': 1156, 'y1': 451, 'y2': 568}",NULL,NULL,NULL,NULL,NULL,NULL
462610,Wax coated beverage containers . Non - flattened corrugated cardboard .,2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 806, 'x2': 1173, 'y1': 591, 'y2': 842}",NULL,NULL,NULL,NULL,NULL,NULL
462596,Metal & Aluminum ( Clean & Rinsed ) Food Cans Tin Food Containers Jar Lids & Bottle Caps,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 56, 'x2': 372, 'y1': 2319, 'y2': 2407}",NULL,NULL,NULL,NULL,NULL,NULL
462597,"Glass ( Clean , Rinsed & Lids Removed ) Clear Jars & Bottles Colored Wine & Beer Bottles",2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 58, 'x2': 374, 'y1': 2213, 'y2': 2301}",NULL,NULL,NULL,NULL,NULL,NULL
462598,HARD Plastics with Recycling Symbols 1-5 & 7 Milk Jugs Food Containers Plastic Bottles,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 62, 'x2': 378, 'y1': 2130, 'y2': 2218}",NULL,NULL,NULL,NULL,NULL,NULL
462601,"Disposable diapers , tube rolls Photographs , greeting cards Food encrusted pizza boxes Cereal box liners , pet food bags Slick Coated frozen food boxes Milk , Juice and plastic egg cartons Tissue paper , wrapping paper",2021-07-13 01:40:31.133,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 628, 'x2': 1112, 'y1': 386, 'y2': 620}",NULL,NULL,NULL,NULL,NULL,NULL
462602,"Paint and aerosol containers Pesticide and chemical containers Iron , steel and batteries Car parts , oil filter",2021-07-13 01:40:31.133,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 615, 'x2': 1098, 'y1': 684, 'y2': 869}",NULL,NULL,NULL,NULL,NULL,NULL
462603,Plastic bags Motor Oil Containers Pesticides and chemical containers Plastic without any recycling symbol Prescription pill bottles Unsanitary containers Styrofoam Medical Supplies,2021-07-13 01:40:31.133,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 608, 'x2': 1075, 'y1': 896, 'y2': 1169}",NULL,NULL,NULL,NULL,NULL,NULL
462604,"Mirror and window glass Drinking glass Crystal , Pyrex and ovenware Ceramic cups and plates Light bulbs , flowerpots",2021-07-13 01:40:31.133,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 587, 'x2': 996, 'y1': 1282, 'y2': 1461}",NULL,NULL,NULL,NULL,NULL,NULL
462605,Food jars and bottles Juice bottles Pop and water bottles Beer Bottles Wine and liquor bottles,2021-07-13 01:40:31.133,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 144, 'x2': 553, 'y1': 1283, 'y2': 1462}",NULL,NULL,NULL,NULL,NULL,NULL
462606,Milk and Juice Jugs Margarine and ice cream tubs Yogurt Cups Pop and water bottles Cooking oil containers Shampoo Bottles Lotion Bottles Dish and liquid soap bottles Bleach and detergent containers Household cleaning containers,2021-07-13 01:40:31.133,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 150, 'x2': 555, 'y1': 895, 'y2': 1203}",NULL,NULL,NULL,NULL,NULL,NULL
462607,"Rinsed tin / steel food containers Aluminum foil , pie pans , trays , cans Metal jar lids Aluminum window frames , chairs",2021-07-13 01:40:31.133,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 153, 'x2': 558, 'y1': 684, 'y2': 815}",NULL,NULL,NULL,NULL,NULL,NULL
462608,"Newspaper , magazines & catalogs Corrugated cardboard Clean pizza boxes Grey Chipboard : cereal and shoeboxes Envelopes , junk mail , paper bags Pop / Beer cartons , carbonless forms Telephone Books",2021-07-13 01:40:31.133,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 155, 'x2': 566, 'y1': 387, 'y2': 606}",NULL,NULL,NULL,NULL,NULL,NULL
462611,"Items not rinsed free of product residue . Cans used for storage of gasoline , kerosene and paint .",2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 805, 'x2': 1170, 'y1': 820, 'y2': 931}",NULL,NULL,NULL,NULL,NULL,NULL
462612,"Items not rinsed free of product residue . Light bulbs , fluorescent tubes , window glass , ceramic cookware , drinking glasses , blue glass – water bottles .",2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 805, 'x2': 1169, 'y1': 921, 'y2': 1060}",NULL,NULL,NULL,NULL,NULL,NULL
462632,NO STYROFOAM OF ANY KIND *,2021-07-13 02:02:07.683,no,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 612, 'x2': 900, 'y1': 3197, 'y2': 3233}",NULL,NULL,NULL,NULL,NULL,NULL
462633,Cardboard & Paperboard,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 336, 'x2': 1158, 'y1': 3034, 'y2': 3071}",NULL,NULL,NULL,NULL,NULL,NULL
462635,"Phone Books , Paperback & Hardbound Books",2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 324, 'x2': 967, 'y1': 2783, 'y2': 2813}",NULL,NULL,NULL,NULL,NULL,NULL
462636,Magazines & Catalogs,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 323, 'x2': 966, 'y1': 2688, 'y2': 2718}",NULL,NULL,NULL,NULL,NULL,NULL
462613,"Styrofoam items of any kind , plastic lids , plastic bags ( grocery bags are recyclable at some grocery stores ) , dry cleaner bags ( check with your dry cleaner to see if recyclable ) , an motor oil & antifreeze containers",2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 812, 'x2': 1176, 'y1': 1060, 'y2': 1243}",NULL,NULL,NULL,NULL,NULL,NULL
462614,"Plastic ; any household plastic bottle , jug or container used for laundry , food or personal hygiene , and plastic milk containers # 1-7 only .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 60, 'x2': 419, 'y1': 1062, 'y2': 1217}",NULL,NULL,NULL,NULL,NULL,NULL
462615,"Glass ; brown , clear or green in color .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 63, 'x2': 418, 'y1': 922, 'y2': 1017}",NULL,NULL,NULL,NULL,NULL,NULL
462616,"Aluminum and tin ; including food and beverage cans , aerosol cans and aluminum foil .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 63, 'x2': 418, 'y1': 831, 'y2': 926}",NULL,NULL,NULL,NULL,NULL,NULL
462617,"Corrugated cardboard including pizza boxes ( if empty of all food ) , egg cartons .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 66, 'x2': 421, 'y1': 744, 'y2': 839}",NULL,NULL,NULL,NULL,NULL,NULL
462618,"Magazines , junk mail , school paper , white and colored paper , computer paper , phone books , catalogs , brown paper bags and feed & pet food bags ( if string is removed ) , and envelopes w / plastic windows . Paperboard items such as cereal , cracker , cake , cookies , tissue and gift boxes .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 68, 'x2': 428, 'y1': 473, 'y2': 749}",NULL,NULL,NULL,NULL,NULL,NULL
462619,"glass , plastic or metal containers",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 635, 'x2': 968, 'y1': 853, 'y2': 889}",NULL,NULL,NULL,NULL,NULL,NULL
462620,"Paper board items such as cereal boxes , cracker boxes , cake boxes , cookie boxes , tissue boxes , and gift boxes must be flattened and may be placed in the recycling bin .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 135, 'x2': 1173, 'y1': 975, 'y2': 1037}",NULL,NULL,NULL,NULL,NULL,NULL
462621,"All paper , newspapers ( including inserts ) , magazines , junk mail , envelopes with plastic windows , school paper , white and colored writing paper , computer paper , phone books , catalogs , brown paper bags , and feed & pet food bags ( if string is removed ) is accepted .",2021-07-13 01:44:37.010,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 135, 'x2': 1173, 'y1': 1037, 'y2': 1124}",NULL,NULL,NULL,NULL,NULL,NULL
462622,"Paper : newspaper , magazines , cardboard , office paper , junk mail Plastics accepted : # 1 Pete Plastics and Milk Jugs • Tin cans • Aluminum cans • Glass",2021-07-13 01:49:29.473,yes,"{'originalSize': {'height': 3880, 'width': 1600}, 'x1': 436, 'x2': 1126, 'y1': 1237, 'y2': 1334}",NULL,NULL,NULL,NULL,NULL,NULL
462623,Glass Food Waste Trash Plastic Bags Shredded Paper Books Paper Plates Styrofoam Liquid,2021-07-13 01:50:45.663,no,"{'originalSize': {'height': 8452, 'width': 1600}, 'x1': 102, 'x2': 427, 'y1': 3175, 'y2': 3578}",NULL,NULL,NULL,NULL,NULL,NULL
462624,Newsprint Plastics 1-7 Cardboard and Cereal boxes Aluminum / Tins Cans Office Paper Junk Mail Catalogs & Brochures,2021-07-13 01:50:45.663,yes,"{'originalSize': {'height': 8452, 'width': 1600}, 'x1': 95, 'x2': 461, 'y1': 2722, 'y2': 3036}",NULL,NULL,NULL,NULL,NULL,NULL
462625,"Motor oil , Antifreeze and Fuel Treatment jugs Styrofoam of any kind ( at this point we have no market for this item ) Kleenex or paper towels Donut , popcorn or ziplock bags Paper plates , drinking straws , plastic forks or spoons Dirty Diapers or Feminine products Cheese wrappers Cardboard milk or orange juice containers Oxygen masks and tubing",2021-07-13 01:54:00.300,no,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 457, 'x2': 1097, 'y1': 1440, 'y2': 1769}",NULL,NULL,NULL,NULL,NULL,NULL
462628,Glass,2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 465, 'x2': 528, 'y1': 1020, 'y2': 1051}",NULL,NULL,NULL,NULL,NULL,NULL
462629,Tin & Aluminum cans,2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 460, 'x2': 671, 'y1': 954, 'y2': 991}",NULL,NULL,NULL,NULL,NULL,NULL
462626,"Plastics ( ONLY plastics with a number and triangle located somewhere on it , pop bottles , milk jugs , grocery bags , seed bags , pill bottles , laundry detergent bottles , shampoo / conditioner / lotion bottles and so much more ! ) Please make",2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 460, 'x2': 1195, 'y1': 1226, 'y2': 1320}",NULL,NULL,NULL,NULL,NULL,NULL
462627,"Office Paper ( white paper , tissue paper , junk mail etc. ) Newspaper ( construction paper , wrapping paper , etc. ) Magazines Books",2021-07-13 01:54:00.300,yes,"{'originalSize': {'height': 3982, 'width': 1600}, 'x1': 465, 'x2': 973, 'y1': 1052, 'y2': 1191}",NULL,NULL,NULL,NULL,NULL,NULL
462634,"Mixed Paper This category includes all other paper such as notebook paper , Post - it notes , colored copy paper , computer paper and white copy paper , white envelopes , green bar or blue bar computer paper , junk mail , etc. Staples are OK .",2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 321, 'x2': 1149, 'y1': 2849, 'y2': 2961}",NULL,NULL,NULL,NULL,NULL,NULL
462637,Newspaper,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 321, 'x2': 964, 'y1': 2569, 'y2': 2599}",NULL,NULL,NULL,NULL,NULL,NULL
462638,Paper,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 328, 'x2': 971, 'y1': 2501, 'y2': 2531}",NULL,NULL,NULL,NULL,NULL,NULL
