id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override,token_count,clean_text,tokens
462586,"Items stamped with # 1 , # 2 , # 3 , # 4 , # 5 , # 6 , or # 7 such as milk jugs , soap bottles , butter tubs , yogurt cups , buckets , pop and water bottles . Triple rinsed herbicide and dairy supply barrels are OK , too .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 73, 'x2': 1189, 'y1': 634, 'y2': 701}",,,,,,,21.0,"['items stamped with     ', '     ', '     ', '     ', '     ', '     ', ' or     such as milk jugs ', ' soap bottles ', ' butter tubs ', ' yogurt cups ', ' buckets ', ' pop and water bottles   triple rinsed herbicide and dairy supply barrels are ok ', ' too  ']","['items', 'stamped', 'milk', 'jugs', 'soap', 'bottles', 'butter', 'tubs', 'yogurt', 'cups', 'buckets', 'pop', 'water', 'bottles', 'triple', 'rinsed', 'herbicide', 'dairy', 'supply', 'barrels', 'ok']"
462587,"Newspapers , magazines , catalogs , office paper , egg cartons , Kraft paper , phone books , junk mail , brown paper bags , feed sacks , books , and shredded paper . Please deliver hard cover books directly to",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 83, 'x2': 1199, 'y1': 420, 'y2': 487}",,,,,,,26.0,"['newspapers ', ' magazines ', ' catalogs ', ' office paper ', ' egg cartons ', ' kraft paper ', ' phone books ', ' junk mail ', ' brown paper bags ', ' feed sacks ', ' books ', ' and shredded paper   please deliver hard cover books directly to']","['newspapers', 'magazines', 'catalogs', 'office', 'paper', 'egg', 'cartons', 'kraft', 'paper', 'phone', 'books', 'junk', 'mail', 'brown', 'paper', 'bags', 'feed', 'sacks', 'books', 'shredded', 'paper', 'deliver', 'hard', 'cover', 'books', 'directly']"
462588,"Basic corrugated boxes or sheets , cereal boxes , shoe boxes , or similar containers .",2021-07-13 01:34:01.593,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 96, 'x2': 988, 'y1': 214, 'y2': 249}",,,,,,,10.0,"['basic corrugated boxes or sheets ', ' cereal boxes ', ' shoe boxes ', ' or similar containers  ']","['basic', 'corrugated', 'boxes', 'sheets', 'cereal', 'boxes', 'shoe', 'boxes', 'similar', 'containers']"
462589,"Pizza boxes , plastic bags , unmarked plastics , Styrofoam ( cups , packaging ) , paper towels , napkins , tissues , cups , coffee filters , tea bags , waxed paper , or waxed anything ( like milk cartons , drink boxes , frozen food boxes ) , candy and gum wrappers , carbon paper , wall paper , bathroom waste paper , photos , slides , transparencies , aerosol cans , paint cans , oil / antifreeze / gasoline containers , light bulbs , pens , window panes , mirrors , pottery , ceramics , disposable razors , needles , toys , dishes , glasses , medicine containers , plastic cups / silverware / trays , plastic wrap , batteries , pet food bags , fertilizer bags , and seed corn bags .",2021-07-13 01:35:05.337,no,"{'originalSize': {'height': 8084, 'width': 1600}, 'x1': 54, 'x2': 1182, 'y1': 3291, 'y2': 3585}",,,,,,,81.0,"['pizza boxes ', ' plastic bags ', ' unmarked plastics ', ' styrofoam   cups ', ' packaging   ', ' paper towels ', ' napkins ', ' tissues ', ' cups ', ' coffee filters ', ' tea bags ', ' waxed paper ', ' or waxed anything   like milk cartons ', ' drink boxes ', ' frozen food boxes   ', ' candy and gum wrappers ', ' carbon paper ', ' wall paper ', ' bathroom waste paper ', ' photos ', ' slides ', ' transparencies ', ' aerosol cans ', ' paint cans ', ' oil   antifreeze   gasoline containers ', ' light bulbs ', ' pens ', ' window panes ', ' mirrors ', ' pottery ', ' ceramics ', ' disposable razors ', ' needles ', ' toys ', ' dishes ', ' glasses ', ' medicine containers ', ' plastic cups   silverware   trays ', ' plastic wrap ', ' batteries ', ' pet food bags ', ' fertilizer bags ', ' and seed corn bags  ']","['pizza', 'boxes', 'plastic', 'bags', 'unmarked', 'plastics', 'styrofoam', 'cups', 'packaging', 'paper', 'towels', 'napkins', 'tissues', 'cups', 'coffee', 'filters', 'tea', 'bags', 'waxed', 'paper', 'waxed', 'like', 'milk', 'cartons', 'drink', 'boxes', 'frozen', 'food', 'boxes', 'candy', 'gum', 'wrappers', 'carbon', 'paper', 'wall', 'paper', 'bathroom', 'waste', 'paper', 'photos', 'slides', 'transparencies', 'aerosol', 'cans', 'paint', 'cans', 'oil', 'antifreeze', 'gasoline', 'containers', 'light', 'bulbs', 'pens', 'window', 'panes', 'mirrors', 'pottery', 'ceramics', 'disposable', 'razors', 'needles', 'toys', 'dishes', 'glasses', 'medicine', 'containers', 'plastic', 'cups', 'silverware', 'trays', 'plastic', 'wrap', 'batteries', 'pet', 'food', 'bags', 'fertilizer', 'bags', 'seed', 'corn', 'bags']"
462590,"Corrugated cardboard , newspaper & inserts , copy and computer paper , junk mail , phone books , magazines , catalogs , greeting cards , boxboard ( cereal , cake , chip , Kleenex , and cracker boxes ) , plastic ( bottles , jugs , and jars ) , glass ( clear , green , brown , blue ) , metal cans .",2021-07-13 01:35:05.337,yes,"{'originalSize': {'height': 8084, 'width': 1600}, 'x1': 76, 'x2': 1169, 'y1': 2953, 'y2': 3072}",,,,,,,33.0,"['corrugated cardboard ', ' newspaper   inserts ', ' copy and computer paper ', ' junk mail ', ' phone books ', ' magazines ', ' catalogs ', ' greeting cards ', ' boxboard   cereal ', ' cake ', ' chip ', ' kleenex ', ' and cracker boxes   ', ' plastic   bottles ', ' jugs ', ' and jars   ', ' glass   clear ', ' green ', ' brown ', ' blue   ', ' metal cans  ']","['corrugated', 'cardboard', 'newspaper', 'inserts', 'copy', 'computer', 'paper', 'junk', 'mail', 'phone', 'books', 'magazines', 'catalogs', 'greeting', 'cards', 'boxboard', 'cereal', 'cake', 'chip', 'kleenex', 'cracker', 'boxes', 'plastic', 'bottles', 'jugs', 'jars', 'glass', 'clear', 'green', 'brown', 'blue', 'metal', 'cans']"
462591,Shredded Paper,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 391, 'x2': 701, 'y1': 1894, 'y2': 1926}",,,,,,,2.0,['shredded paper'],"['shredded', 'paper']"
462592,Wrapping Paper,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 391, 'x2': 701, 'y1': 1953, 'y2': 1985}",,,,,,,2.0,['wrapping paper'],"['wrapping', 'paper']"
462593,"Wax Coated Cardboard ( Milk Cartons , Tetra - Paks ) Dirty , Greasy Pizza Boxes",2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 396, 'x2': 707, 'y1': 2005, 'y2': 2058}",,,,,,,11.0,"['wax coated cardboard   milk cartons ', ' tetra   paks   dirty ', ' greasy pizza boxes']","['wax', 'coated', 'cardboard', 'milk', 'cartons', 'tetra', 'paks', 'dirty', 'greasy', 'pizza', 'boxes']"
462594,Shopping Bags Plastic Wrap / Baggies / Air Pillow Packaging Dry Cleaning Plastic Styrofoam / Foam Food Cartons,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 393, 'x2': 700, 'y1': 2134, 'y2': 2221}",,,,,,,15.0,['shopping bags plastic wrap   baggies   air pillow packaging dry cleaning plastic styrofoam   foam food cartons'],"['shopping', 'bags', 'plastic', 'wrap', 'baggies', 'air', 'pillow', 'packaging', 'dry', 'cleaning', 'plastic', 'styrofoam', 'foam', 'food', 'cartons']"
462595,Glass Sheets Window Glass Light Bulbs STRA,2021-07-13 01:37:40.257,no,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 392, 'x2': 529, 'y1': 2243, 'y2': 2327}",,,,,,,7.0,['glass sheets window glass light bulbs stra'],"['glass', 'sheets', 'window', 'glass', 'light', 'bulbs', 'stra']"
462599,Paper Egg Cartons Soda Boxes Shipping Boxes Cereal Boxes,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 55, 'x2': 255, 'y1': 2016, 'y2': 2101}",,,,,,,9.0,['paper egg cartons soda boxes shipping boxes cereal boxes'],"['paper', 'egg', 'cartons', 'soda', 'boxes', 'shipping', 'boxes', 'cereal', 'boxes']"
462600,Newsprint Magazines Junk Mail Paperback Books,2021-07-13 01:37:40.257,yes,"{'originalSize': {'height': 6096, 'width': 1600}, 'x1': 60, 'x2': 260, 'y1': 1899, 'y2': 1984}",,,,,,,6.0,['newsprint magazines junk mail paperback books'],"['newsprint', 'magazines', 'junk', 'mail', 'paperback', 'books']"
462609,Paper plates or meat wrapping paper .,2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 803, 'x2': 1156, 'y1': 451, 'y2': 568}",,,,,,,5.0,['paper plates or meat wrapping paper  '],"['paper', 'plates', 'meat', 'wrapping', 'paper']"
462610,Wax coated beverage containers . Non - flattened corrugated cardboard .,2021-07-13 01:44:37.010,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 806, 'x2': 1173, 'y1': 591, 'y2': 842}",,,,,,,8.0,['wax coated beverage containers   non   flattened corrugated cardboard  '],"['wax', 'coated', 'beverage', 'containers', 'non', 'flattened', 'corrugated', 'cardboard']"
